;Formula;Format;Comments;Code;Summary;"DCA Formula";"Use Workflow";"Storage Format";"Referenced By";"Cell Count";"Size (GB)";"Clean Cells";Id;AutoCalculation;"Last Update";"Obfuscation Formula";"Stable View Formula";"User View Formula";"Error Comment"
"Проект 1С УХ";;"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000082,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false,""filterType"":""NONE""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Импорт Расходы ЦСП (корректировки)'.'Проект Итог'";15;1.1175870895386E-7;;129000000641;true;;;;;
Сименс;;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;15;2.7939677238464E-8;;129000000125;true;;;;;
"L Версии";;;МДП;;;;;;;130;3.3900141716003E-7;;101000000053;;;;;;
"До РеБП25";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Сделки помесячно по ЦК'.'Себестоимость из воронки CF'";13;2.4214386940002E-8;;129000000719;true;;;;;
item;"ITEM('L Версии')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000053,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"Name, 'Текущая?', 'Исходные данные CRM'.Версия, 'План расходов ТД'.Версия, 'M05.02.08 REPORT Детализация PL с версиями'.'Фильтр выгрузки в DWH', 'M05.03.05 REPORT Детализация CF с версиями'.'Фильтр выгрузки в DWH', 'Импорт HR PL'.'Выгрузка версия', 'Импорт HR CF'.'Версия Export', 'M96.01 Архивация данных PL'.Версия, 'M96.02 Архивация данных CF'.version, 'ML01.03.05 Versions Month Control'.'Версия в периоде', 'ЦСПРаспределение АХО по блокам PL'.Версия, 'ЦСПРаспределение АХО по блокам PL (направления)'.Версия, 'M05.02.10 REPORT PL МСФО/РСБУ по БЕ'.'export_filter', 'МК Аллокация HR и ТД'.'Dim Версия'";13;9.685754776001E-8;;129000000197;true;;;ITEM('101000000053');"ITEM('L Версии')";
Name;NAME('item');"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'M05.02.08 REPORT Детализация PL с версиями'.'custom_key', 'M05.03.05 REPORT Детализация CF с версиями'.'custom_key'";13;0;;129000000196;true;;;NAME('129000000197');NAME('item');
"Display Name";"'ML01.03.03 Versions'.'Отображаемое имя'";"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;13;0;;129000000187;true;;;'379000001492';"'ML01.03.03 Versions'.'Отображаемое имя'";
"Новая логика расчета";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'M05.02.01 REPORT PL по Доменам'.'НОВЫЙ Первичный расчет суммы', 'M05.02.01 REPORT PL по Доменам'.'Факт по капитализации', 'M05.03.01 REPORT CF по Доменам'.'Предварительный расчет (новый)', 'M05.02.04 REPORT PL по МВЗ'.'Факт по капитализации', 'M05.02.04 REPORT PL по МВЗ'.'НОВЫЙ Первичный расчет суммы', 'M05.02.03 REPORT PL по направлениям'.'НОВЫЙ Первичный расчет суммы new', 'M05.02.05 REPORT PL по ЮЛ и БЕ'.'НОВЫЙ Первичный расчет суммы', 'M05.02.05 REPORT PL по ЮЛ и БЕ'.'Факт по капитализации', 'M05.02.11 REPORT PL по БЕ'.'НОВЫЙ Первичный расчет суммы', 'M05.02.11 REPORT PL по БЕ'.'x НОВЫЙ Первичный расчет суммы new', 'M05.02.11 REPORT PL по БЕ'.'Факт по капитализации', 'M05.03.06 REPORT CF по БЕ'.'Предварительный расчет (новый)', 'M05.02.12 REPORT PL по БЕ и направлениям'.'НОВЫЙ Первичный расчет суммы'";13;2.4214386940002E-8;;129000000342;true;;;;;
"Утвержденная версия";;"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000053,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'ML01.03.03 Versions'.'Утвержденная версия text'";13;9.685754776001E-8;;129000000194;true;;;;;
Факт_;"IN_DIMENSION('s Факт')";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'M05.03.01 REPORT CF по Доменам'.'Предварительный расчет (новый)', 'M05.02.08 REPORT Детализация PL с версиями'.'Item L Тип выручки/расходов', 'M05.03.06 REPORT CF по БЕ'.'Предварительный расчет (новый)'";13;2.4214386940002E-8;;129000000248;true;;;IN_DIMENSION('109000000050');"IN_DIMENSION('s Факт')";
"В измерении плана";"IN_DIMENSION('S Версии/План')";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'ML01.03.04 NUM для версий'.'Уже в сабсете плана'";13;2.4214386940002E-8;;129000000199;true;;;IN_DIMENSION('109000000045');"IN_DIMENSION('S Версии/План')";
Текущая?;"'item' = 'M98.02 Селектор для сравнения версия PL/CF'.'Выберите версию для расчетов'";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;13;2.4214386940002E-8;;129000000422;true;;;"'129000000197' = '386000005526'";"'item' = 'M98.02 Селектор для сравнения версия PL/CF'.'Выберите версию для расчетов'";
"Архивировать версию?";"'ML01.03.03 Versions'.'Архивировать версию?'";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";Скрипт;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;13;2.4214386940002E-8;;129000000466;true;;;'379000004877';"'ML01.03.03 Versions'.'Архивировать версию?'";
"L Блоки модели";;;"МДП а зачем нужно МДП? Функционал неактуален. Скрипты и настроечные МК удалены.";;;;;;;0;0;;101000000054;;;;;;
"L Ком блок";;;МДП;;;;;;;6;2.9802322387695E-8;;101000000075;;;;;;
item;"ITEM('L Ком блок')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000075,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";Код;2;1.4901161193848E-8;;129000000467;true;;;ITEM('101000000075');"ITEM('L Ком блок')";
Код;CODE('item');"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Код в виде числа'";2;0;;129000000468;true;;;CODE('129000000467');CODE('item');
