;Formula;Format;Comments;Code;Summary;"DCA Formula";"Use Workflow";"Storage Format";"Referenced By";"Cell Count";"Size (GB)";"Clean Cells";Id;AutoCalculation;"Last Update";"Obfuscation Formula";"Stable View Formula";"User View Formula";"Error Comment"
"L Тип планирования";;;"тех справочник";;;;;;;4;2.9802322387695E-8;;101000000050;;;;;;
item;"ITEM('L Тип планирования')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000050,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;4;2.9802322387695E-8;;129000000110;true;;;ITEM('101000000050');"ITEM('L Тип планирования')";
"L ЦК";;;"L ЦК дирекция";;;;;;;1995;5.9455633163452E-6;;101000000032;;;;;;
source;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;133;0;;129000000832;true;;;;;
"Display Name";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;133;0;;129000000095;true;;;;;
item;"ITEM('L ЦК')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000032,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"name, 'ДЗИЛ?', 'Корректировки ДЗИЛ'.ЦК";133;9.9092721939087E-7;;129000000014;true;;;ITEM('101000000032');"ITEM('L ЦК')";
name;NAME('item');"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'M05.02.08 REPORT Детализация PL с версиями'.'Центр компетенций'";133;0;;129000000227;true;;;NAME('129000000014');NAME('item');
"Блок PL";;"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000064,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;133;9.9092721939087E-7;;129000000334;true;;;;;
"Без ФОТ";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;133;2.4773180484772E-7;;129000000343;true;;;;;
ДЗИЛ?;"'item' = 'L ЦК'.'ДЗИЛ box-moving'";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Импорт HR PL (направления)'.'Корректировка ДЗИЛ'";133;2.4773180484772E-7;;129000000448;true;;;"'129000000014' = '101000000032'.'253000000002'";"'item' = 'L ЦК'.'ДЗИЛ box-moving'";
"В выборке активных";"IN_DIMENSION('s ЦК все f1')";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Сделки помесячно с измерением показателей'.'Фильтр выгрузки PL Себестоимость воронка', 'Сделки помесячно с измерением показателей'.'Фильтр отсутствующий ЦК в выборке', 'Сделки помесячно по ЦК'.'Фильтр выгрузки PL Себестоимость воронка'";133;2.4773180484772E-7;;129000000451;true;;;IN_DIMENSION('109000000072');"IN_DIMENSION('s ЦК все f1')";
"В себестоимость без ФОТ";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Импорт HR PL'.t, 'Свод данных по БК и ЦК new'.'EXGap себестоимость?', 'Свод данных по БК и ЦК new'.'ЦК для ФОТ'";133;2.4773180484772E-7;;129000000437;true;;;;;
"Выделить ФОТ в себестоимости";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'План расходов ТД'.'ЦК без ФОТ'";133;2.4773180484772E-7;;129000000019;true;;;;;
Субподряд?;;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Сделки помесячно с измерением показателей'.'Итоговая сумма (руб)'";133;2.4773180484772E-7;;129000000434;true;;;;;
1;1;"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":0,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN"",""horizontalAlign"":""RIGHT"",""verticalAlign"":""CENTER""}";;;Sum;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"Variables.'Количество элементов ЦК'";133;9.9092721939087E-7;;129000000709;true;;;1;1;
"p.test есть данные в Сделки помесячно по ЦК";"SUM('План расходов ТД'.'Расходы на работы ЦК, млн руб', 'План расходов ТД'.'ЦК распознано') + SUM('Исходные данные CRM'.'Прогноз', 'Исходные данные CRM'.'ЦК распознано') + SUM('Исходные данные CRM'.'Прогноз взвеш', 'Исходные данные CRM'.'ЦК распознано')";"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":0,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN"",""horizontalAlign"":""RIGHT"",""verticalAlign"":""CENTER""}";;;Sum;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;133;9.9092721939087E-7;;129000000729;true;;;"sum( '316000000782' ,  '316000001163' )  +  sum(  '217000000018' , '217000000069' ) + sum(  '217000000020'  , '217000000069' )";"SUM('План расходов ТД'.'Расходы на работы ЦК, млн руб', 'План расходов ТД'.'ЦК распознано') + SUM('Исходные данные CRM'.'Прогноз', 'Исходные данные CRM'.'ЦК распознано') + SUM('Исходные данные CRM'.'Прогноз взвеш', 'Исходные данные CRM'.'ЦК распознано')";
"Фильтр ExtraGap";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;133;2.4773180484772E-7;;129000000772;true;;;;;
"p.ML L2 ЦФО";"'M99.11 FILTER БК (в L2 ЦФО)'.'Есть в ML L2 ЦФО ?'";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;133;2.4773180484772E-7;;129000000782;true;;;'965000011524';"'M99.11 FILTER БК (в L2 ЦФО)'.'Есть в ML L2 ЦФО ?'";
"L Фин категория";;;"не исп";;;;;;;10;7.4505805969238E-8;;101000000033;;;;;;
item;"ITEM('L Фин категория')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000033,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;10;7.4505805969238E-8;;129000000018;true;;;ITEM('101000000033');"ITEM('L Фин категория')";
"L PL (ЕКДР)";;;;;;;;;;15288;5.0380825996399E-5;;101000000034;;;;;;
"Display Name";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;0;;129000000033;true;;;;;
item;"ITEM('L PL (ЕКДР)')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000034,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"parent, 'p1', 'Код статьи'";392;2.9206275939941E-6;;129000000064;true;;;ITEM('101000000034');"ITEM('L PL (ЕКДР)')";
parent;PARENT('item');"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000034,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'1', '2', '3', '4', 'p2', 'Код парента'";392;2.9206275939941E-6;;129000000065;true;;;PARENT('129000000064');PARENT('item');
"Наименование статьи РУС";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;0;;129000000021;true;;;;;
"Наименование статьи ENG";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;0;;129000000022;true;;;;;
"Код статьи";CODE('item');"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Сравнение с PL old'";392;0;;129000000229;true;;;CODE('129000000064');CODE('item');
"Уровень статьи";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;0;;129000000023;true;;;;;
1;"IF 'parent' = """" THEN 1 ELSE 0";"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":0,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Уровень 1', '2', Итог";392;2.9206275939941E-6;;129000000066;true;;;"IF '129000000065' = """" THEN 1 ELSE 0";"IF 'parent' = """" THEN 1 ELSE 0";
2;"IF SELECT('1', 'L PL (ЕКДР)':'parent') = 1 THEN 2 ELSE 0";"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":0,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Уровень 1-2', '3', Итог";392;2.9206275939941E-6;;129000000067;true;;;"IF SELECT('129000000066', '101000000034':'129000000065') = 1 THEN 2 ELSE 0";"IF SELECT('1', 'L PL (ЕКДР)':'parent') = 1 THEN 2 ELSE 0";
3;"IF SELECT('2', 'L PL (ЕКДР)':'parent') = 2 THEN 3 ELSE 0";"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":0,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Уровень 1-3', '4', Итог";392;2.9206275939941E-6;;129000000068;true;;;"IF SELECT('129000000067', '101000000034':'129000000065') = 2 THEN 3 ELSE 0";"IF SELECT('2', 'L PL (ЕКДР)':'parent') = 2 THEN 3 ELSE 0";
4;"IF SELECT('3', 'L PL (ЕКДР)':'parent') = 3 THEN 4 ELSE 0";"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":0,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";Итог;392;2.9206275939941E-6;;129000000069;true;;;"IF SELECT('129000000068', '101000000034':'129000000065') = 3 THEN 4 ELSE 0";"IF SELECT('3', 'L PL (ЕКДР)':'parent') = 3 THEN 4 ELSE 0";
Итог;"'1' + '2' + '3' + '4'";"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":0,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;2.9206275939941E-6;;129000000070;true;;;"'129000000066' + '129000000067' + '129000000068' + '129000000069'";"'1' + '2' + '3' + '4'";
"Уровень 1";"'1' = 1";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Уровень 1-2'";392;7.3015689849854E-7;;129000000024;true;;;"'129000000066' = 1";"'1' = 1";
"Уровень 1-2";"'Уровень 1' OR '2' = 2";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Уровень 1-3'";392;7.3015689849854E-7;;129000000025;true;;;"'129000000024' OR '129000000067' = 2";"'Уровень 1' OR '2' = 2";
"Уровень 1-3";"'Уровень 1-2' OR '3' = 3";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;7.3015689849854E-7;;129000000026;true;;;"'129000000025' OR '129000000068' = 3";"'Уровень 1-2' OR '3' = 3";
"Все уровни";TRUE;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;7.3015689849854E-7;;129000000027;true;;;TRUE;TRUE;
"Является родителем";IS_PARENT();"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'L PL конс'.'Является родителем PL'";392;7.3015689849854E-7;;129000000121;true;;;IS_PARENT();IS_PARENT();
p1;'item';"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000034,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;2.9206275939941E-6;;129000000116;true;;;'129000000064';'item';
p2;'parent';"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000034,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";'p3';392;2.9206275939941E-6;;129000000117;true;;;'129000000065';'parent';
p3;PARENT('p2');"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000034,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";'p4';392;2.9206275939941E-6;;129000000118;true;;;PARENT('129000000117');PARENT('p2');
p4;PARENT('p3');"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000034,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";'p5';392;2.9206275939941E-6;;129000000119;true;;;PARENT('129000000118');PARENT('p3');
p5;PARENT('p4');"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000034,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;2.9206275939941E-6;;129000000120;true;;;PARENT('129000000119');PARENT('p4');
"в общий PL";;"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000034,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'PL конс'";392;2.9206275939941E-6;;129000000137;true;;;;;
"PL конс";"FINDITEM('L PL конс', CODE('в общий PL'))";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000052,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'L Услуги'.'1ВТБ субаренда', 'L Услуги'.'1PL (ВТБ сименс)', 'CALC Параметры НМА'.'Статья P&L'";392;2.9206275939941E-6;;129000000176;true;;;"FINDITEM('101000000052', CODE('129000000137'))";"FINDITEM('L PL конс', CODE('в общий PL'))";
pp1;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;0;;129000000132;true;;;;;
pp2;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;0;;129000000133;true;;;;;
pp3;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;0;;129000000134;true;;;;;
pp4;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;0;;129000000135;true;;;;;
pp5;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;0;;129000000136;true;;;;;
"Статьи Группы";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;7.3015689849854E-7;;129000000028;true;;;;;
"Base PL?";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;7.3015689849854E-7;;129000000029;true;;;;;
"PL Calc?";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;7.3015689849854E-7;;129000000030;true;;;;;
Проценты?;;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;7.3015689849854E-7;;129000000031;true;;;;;
Доход/Расход?;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;0;;129000000032;true;;;;;
"Сравнение с PL old";"FINDITEM('L PL (ЕКДР) test', 'Код статьи') = """"";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;7.3015689849854E-7;;129000000263;true;;;"FINDITEM('101000000058', '129000000229') = """"";"FINDITEM('L PL (ЕКДР) test', 'Код статьи') = """"";
"11 блок";"IN_DIMENSION('s PL (11)')";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";Посчитано;392;7.3015689849854E-7;;129000000128;true;;;IN_DIMENSION('109000000034');"IN_DIMENSION('s PL (11)')";
"15 блок";"IN_DIMENSION('s PL (15)')";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";Посчитано;392;7.3015689849854E-7;;129000000129;true;;;IN_DIMENSION('109000000038');"IN_DIMENSION('s PL (15)')";
Посчитано;"'11 блок' OR '15 блок'";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;7.3015689849854E-7;;129000000130;true;;;"'129000000128' OR '129000000129'";"'11 блок' OR '15 блок'";
"Код парента";CODE('parent');"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;392;0;;129000000173;true;;;CODE('129000000065');CODE('parent');
"L PL (ЕКДР) test";;;;;;;;;;4741;1.123920083046E-5;;101000000058;;;;;;
"Display Name";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;431;0;;129000000255;true;;;;;
"Наименование статьи РУС";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;431;0;;129000000256;true;;;;;
"Наименование статьи ENG";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;431;0;;129000000257;true;;;;;
"Код статьи";"CODE(ITEM('L PL (ЕКДР) test'))";"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Есть в ЕКДР', 'Есть в ЕКДР обрезано'";431;0;;129000000266;true;;;CODE(ITEM('101000000058'));"CODE(ITEM('L PL (ЕКДР) test'))";
"Уровень статьи";;"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":0,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;431;3.2112002372742E-6;;129000000258;true;;;;;
"в общий PL";;"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000034,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;431;3.2112002372742E-6;;129000000259;true;;;;;
"Код PL";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Статья PL'";431;0;;129000000261;true;;;;;
