;Code;"Top Level";"Parent Hierarchy";Folder;Comments;Numbered;Flat;"Clean Cells";"Display Name Property";UAM;"Attribute Access";"Has Workflow";"List Type";"Cell Count";"Element Count";"Size (GB)";Production;"Dev Complete";Id
"L Договоры 1С:УХ (Клауд_С поставщиками)";;;;;;false;false;;"Display Name";None;false;false;"Custom List";67350;2694;7.5269490480423E-5;false;false;101000000148
"L Тарифы";;;"L Этапы договоров";;;false;false;;"Display name";None;false;false;"Custom List";41530;4153;0.00020112469792366;false;false;101000000132
"L Драйвер распределения";;;;;;false;false;;;None;false;false;"Custom List";0;5;0;false;false;101000000136
"L Конечное упр подразделение";;;;;;false;false;;;None;false;false;"Custom List";8224;4112;1.5318393707275E-5;false;false;101000000137
"< - - - Вспомогательные справочники - - - >";;;;;;false;false;;;None;false;false;"Custom List";0;0;0;false;false;101000000015
NUM;;;;;;true;false;;;None;false;false;"Custom List";33972800;499600;0.067001581192017;false;false;101000000016
"NUM разбиение данных";;;;;;false;false;;;None;false;false;"Custom List";20;10;3.7252902984619E-8;false;false;101000000070
"NUM Распределение МВЗ";;;;;;false;false;;;None;false;false;"Custom List";0;500;0;false;false;101000000154
"NUM1 Импорт";;;;;;true;false;;;None;false;false;"Custom List";200000;100000;0.0014901161193848;false;false;101000000041
"NUM2 Импорт";;;;;;true;false;;;None;false;false;"Custom List";40000;10000;0.0001862645149231;false;false;101000000042
"L2 ЮЛ";;;;;;false;false;;"Display name";None;false;false;"Custom List";1800;75;4.1909515857697E-6;false;false;101000000062
"L TEST Налоговый режим";;;;;;false;false;;;None;false;false;"Custom List";4;4;0;false;false;101000000090
"1d PL-Направление (Monthly)";;;;;;false;false;;name;None;false;false;"Custom List";864;96;3.0398368835449E-6;false;false;101000000094
"N Drill PL";;;;;;true;false;;;None;false;false;"Custom List";0;5000;0;false;false;101000000095
"Уровни консолидации";;;;;;false;false;;;None;false;false;"Custom List";0;4;0;false;false;101000000096
"L Долговой портфель";;Итого;;;;false;false;;;None;false;false;"Custom List";0;16;0;false;false;101000000099
"L Стадия исполнения";;;;;;false;false;;;None;false;false;"Custom List";0;2;0;false;false;101000000122
"L Типы проектов";;;;;;false;false;;"Display name";None;false;false;"Custom List";282;94;0;false;false;101000000115
"L Продукты";;;;;;false;false;;"Display name";None;false;false;"Custom List";1731;1731;0;false;false;101000000112
"L Продукты 1С";;;;;;false;false;;;None;false;false;"Custom List";0;70;0;false;false;101000000113
"L Суперпродукты";;;;;;false;false;;;None;false;false;"Custom List";0;77;0;false;false;101000000114
"L BE tech";;;;;;false;false;;"Display Name";None;false;false;"Custom List";34;17;1.2665987014771E-7;false;false;101000000117
"L ExtraGap_LAM";;;;;;false;false;;;None;false;false;"Custom List";0;4;0;false;false;101000000118
"L Источники данных tech";;;;;;false;false;;;None;false;false;"Custom List";0;42;0;false;false;101000000119
"L Ресурс";;;;;;false;false;;;None;false;false;"Custom List";0;5;0;false;false;101000000125
"L Платежи по закупкам";;;;;;false;false;;;None;false;false;"Custom List";6;3;4.4703483581543E-8;false;false;101000000126
"L Услуги Мультикарты";;;;;АК;false;false;;;None;false;false;"Custom List";0;10;0;false;false;101000000129
"L Пакеты";;;;;;false;false;;;None;false;false;"Custom List";74;37;3.4458935260773E-7;false;false;101000000127
"L Проекты Мультикарты";;;;;;false;false;;;None;false;false;"Custom List";11;11;8.1956386566162E-8;false;false;101000000128
"L НМА";;;"L2 ЦФО";;;false;false;;;Cascade;false;false;"Custom List";2140;1070;1.5944242477417E-5;false;false;101000000135
"L ЦОД";;;;;АП;false;false;;;None;false;false;"Custom List";11;11;8.1956386566162E-8;false;false;101000000138
"L Назначения для тех. блок клауд";;;;;АП;false;false;;;None;false;false;"Custom List";0;4;0;false;false;101000000139
"L Источники сделки из бд";;;;;;false;false;;;None;false;false;"Custom List";0;35;0;false;false;101000000140
"L Ключ_Бизнес категория_БЕ Код";;;;;"МА создан для определения БК для 1С УХ, по БЕ Код";false;false;;;None;false;false;"Custom List";52;52;3.8743019104004E-7;false;false;101000000141
"L Ключ_Бизнес категория";;;;;"МА создан для определения БК для 1С УХ";false;false;;;None;false;false;"Custom List";69;69;5.1409006118774E-7;false;false;101000000142
"L действует/ не действует";;;;;АП;false;false;;;None;false;false;"Custom List";0;2;0;false;false;101000000143
"L разовый/периодический";;;;;АП;false;false;;;None;false;false;"Custom List";0;2;0;false;false;101000000144
"L Расчет неутиля";;;;;ДИ;false;false;;;None;false;false;"Custom List";68;17;2.2165477275848E-7;false;false;101000000145
"L Период начисления начало";;;;;АП;false;false;;;None;false;false;"Custom List";0;5;0;false;false;101000000146
"L Базы распределения";;;;;;false;false;;;None;false;false;"Custom List";4;4;7.4505805969238E-9;false;false;101000000147
"L Тип МВЗ";;;;;"КИМ del сам";false;false;;;None;false;false;"Custom List";0;15;0;false;false;101000000151
"L Тип показателя";;;;;"КИМ del сам";false;false;;;None;false;false;"Custom List";0;8;0;false;false;101000000152
"L Признак";;;;;"КИМ del сам";false;false;;;None;false;false;"Custom List";0;30;0;false;false;101000000153
