ListsSubsets;"Full Name";"Cell Count"
"s NUM HR CF";"'NUM'.'s NUM HR CF'";63350
"s NUM Загрузка справочников";"'NUM'.'s NUM Загрузка справочников'";40
"s NUM Месяцы";"'NUM'.'s NUM Месяцы'";229
"s NUM CSP";"'NUM'.'s NUM CSP'";1916
"s NUM CSP manual";"'NUM'.'s NUM CSP manual'";7000
"s NUM CSP manual ЦФО";"'NUM'.'s NUM CSP manual ЦФО'";250
"s NUM capex проекты";"'NUM'.'s NUM capex проекты'";80
"s NUM форма opex";"'NUM'.'s NUM форма opex'";209
"ЦСП PL";"'NUM'.'ЦСП PL'";107
"ЦСП CF";"'NUM'.'ЦСП CF'";107
"Ручная загрузка плана/ExGap";"'NUM'.'Ручная загрузка плана/ExGap'";225
"Ручная загрузкаExGap";"'NUM'.'Ручная загрузкаExGap'";229
"s NUM Scripts Logging";"'NUM'.'s NUM Scripts Logging'";41
"s NUM Импорт Старый контур";"'NUM'.'s NUM Импорт Старый контур'";1200
"s NUM Аллокация HR и ТД";"'NUM'.'s NUM Аллокация HR и ТД'";399600
"s NUM ExtraGap";"'NUM'.'s NUM ExtraGap'";370
"s.NUM Импорт целей LAM";"'NUM'.'s.NUM Импорт целей LAM'";360
"s.NUM список LAM и KeyClient";"'NUM'.'s.NUM список LAM и KeyClient'";10000
"s NUM Пустой";"'NUM'.'s NUM Пустой'";0
"s.NUM IMPORT vCPU new";"'NUM'.'s.NUM IMPORT vCPU new'";25000
"s. NUM Мультикарта";"'NUM'.'s. NUM Мультикарта'";15000
"s NUM Тарифы";"'NUM'.'s NUM Тарифы'";7500
"s NUM Мэппинг для определения БК";"'NUM'.'s NUM Мэппинг для определения БК'";80
"s NUM Контрагенты 1С УХ";"'NUM'.'s NUM Контрагенты 1С УХ'";51311
"s NUM Факт по капитализации";"'NUM'.'s NUM Факт по капитализации'";5850
"s NUM M10.03/04";"'NUM'.'s NUM M10.03/04'";7
"sЕсть импорт ЦСП (кор)";"'NUM разбиение данных'.'sЕсть импорт ЦСП (кор)'";1
"s L2 ЮЛ Т1И";"'L2 ЮЛ'.'s L2 ЮЛ Т1И'";32
